power,wind,target
0.0,1.53,0.0
0.0,2.49,0.0
0.0,3.18,0.0
0.0,2.35,0.0
0.0,3.2,0.0
0.028999999999999998,3.6,0.028999999999999998
0.53,3.7,0.53
1.7930000000000001,3.73,1.7930000000000001
3.6910000000000003,3.22,3.6910000000000003
4.707,3.89,4.707
4.842,3.87,4.842
6.074,3.77,6.074
7.586,4.03,7.586
9.742,3.51,9.742
13.335999999999999,3.99,13.335999999999999
11.557,2.23,11.557
13.56,2.69,13.56
15.635,3.85,15.635
15.695,4.59,15.695
22.491999999999997,4.49,22.491999999999997
24.616,5.7,24.616
27.455,5.07,27.455
26.945,5.19,26.945
21.955,4.88,21.955
19.875,5.78,19.875
18.764,6.08,18.764
14.61,5.79,14.61
13.485,5.75,13.485
12.047,5.75,12.047
10.509,5.8,10.509
12.055,4.28,12.055
13.034,5.21,13.034
10.632,5.16,10.632
6.071000000000001,2.86,6.071000000000001
5.53,2.97,5.53
5.145,3.54,5.145
3.8710000000000004,1.48,3.8710000000000004
2.647,1.12,2.647
1.912,0.5,1.912
0.595,0.62,0.595
0.059000000000000004,0.81,0.059000000000000004
0.0,0.66,0.0
0.0,0.96,0.0
0.0,0.85,0.0
0.0,2.53,0.0
0.0,0.52,0.0
0.0,2.39,0.0
0.0,2.1,0.0
0.0,1.59,0.0
0.0,1.81,0.0
0.0,2.56,0.0
0.0,2.64,0.0
0.0,2.59,0.0
0.19399999999999998,3.54,0.19399999999999998
0.226,3.0,0.226
1.032,3.93,1.032
1.466,4.13,1.466
1.9,4.13,1.9
1.3980000000000001,3.55,1.3980000000000001
0.9279999999999999,3.43,0.9279999999999999
2.105,4.36,2.105
1.9140000000000001,4.08,1.9140000000000001
1.784,4.05,1.784
1.798,3.9,1.798
2.63,4.1,2.63
3.2460000000000004,4.03,3.2460000000000004
3.967,3.71,3.967
3.384,3.82,3.384
3.708,4.01,3.708
6.041,4.75,6.041
6.595,5.42,6.595
8.543,5.81,8.543
8.779,6.23,8.779
11.477,6.6,11.477
19.852999999999998,7.44,19.852999999999998
20.209,8.99,20.209
17.840999999999998,7.5,17.840999999999998
19.144000000000002,6.43,19.144000000000002
15.411,5.69,15.411
17.861,6.04,17.861
20.031,6.48,20.031
14.725999999999999,6.32,14.725999999999999
12.413,6.08,12.413
9.946,5.59,9.946
10.308,5.03,10.308
7.178999999999999,5.8,7.178999999999999
